id,title,average_rating,std_rating
zxg6601zoc,Re-Imagining Multimodal Instruction Tuning: A Representation View,5.75,0.4330127018922193
zxO4WuVGns,Inverse decision-making using neural amortized Bayesian actors,6.0,0.0
zwuemuTiN8,TACD-GRU: Time-Aware Context-Dependent Autoregressive Model for Irregularly Sampled Time Series,5.25,0.4330127018922193
zvaiz3FjA9,Designing Concise ConvNets with Columnar Stages,6.0,0.0
zu7cBTPsDb,MVTokenFlow: High-quality 4D Content Generation using Multiview Token Flow,6.0,0.0
zs6bRl05g8,Accelerating Block Coordinate Descent for LLM Finetuning via Landscape Correction,5.25,0.4330127018922193
zrNbsV87Os,SSIF: Physics-Inspired Implicit Representations for Spatial-Spectral Image Super-Resolution,5.25,0.4330127018922193
zpLcZ2AyDK,GraphIC: A Graph-Based In-Context Example Retrieval Model for Multi-Step Reasoning,5.5,0.5
zpBamnxyPm,Why Has Predicting Downstream Capabilities of Frontier AI Models with Scale Remained Elusive?,5.75,0.4330127018922193
zo049dh2r9,3DRealCar: An In-the-wild RGB-D Car Dataset with 360-degree Views,5.333333333333333,0.4714045207910317
zn0eqMtsrw,GUD: Generation with Unified Diffusion,5.75,0.4330127018922193
zl0HLZOJC9,Probabilistic Learning to Defer: Handling Missing Expert Annotations and Controlling Workload Distribution,8.0,0.0
zkNCWtw2fd,"Synergistic Approach for Simultaneous Optimization of Monolingual, Cross-lingual, and Multilingual Information Retrieval",3.0,0.0
zjeHLSiNv1,Ultra-Sparse Memory Network,6.0,0.0
ziw5bzg2NO,Do You Keep an Eye on What I Ask? Mitigating Multimodal Hallucination via Attention-Guided Ensemble Decoding,6.0,0.0
zi0XgnZlcl,MixLLM: Mixed-precision LLM Quantization with Algorithm-system Co-design,5.75,0.4330127018922193
zeBhcfP8tN,Trust but Verify: Programmatic VLM Evaluation in the Wild,5.0,0.0
zb1UI74kxA,How Many Van Goghs Does It Take to Van Gogh? Finding the Imitation Threshold,5.333333333333333,0.4714045207910317
zZ3eYI0QXN,"Simple, Accurate, and Efficient Axis-Aligned Decision Tree Learning",3.0,0.0
zY37C8d6bS,Semantic Temporal Abstraction via Vision-Language Model Guidance for Efficient Reinforcement Learning,6.0,0.0
zWYHsbuedA,Combating Hidden Vulnerabilities in Computer Vision Tasks,5.0,0.0
zVagbJLgkP,VipAct: Visual-Perception Enhancement via Specialized VLM Agent Collaboration and Tool-use,5.333333333333333,0.4714045207910317
zUlK1qMIcE,Active partitioning: inverting the paradigm of active learning,3.0,0.0
zRsFAUQDRk,Class-wise Generalization Error: an Information-Theoretic analysis,6.0,0.0
zPoW8CajCN,Fractal-Inspired Message Passing Neural Networks with Fractal Nodes,5.5,0.5
zP8HygcAMY,Can LLMs Evaluate Complex Attribution in QA? Automatic Benchmarking Using Knowledge Graphs,5.75,0.4330127018922193
zJjzNj6QUe,RocketEval: Efficient automated LLM evaluation via grading checklist,6.0,0.0
zIPFFhowuM,Proof Search Augmented Language Models,5.25,0.4330127018922193
zHf7hOfeer,Zero-cost Proxy for Adversarial Robustness Evaluation,6.0,0.0
zG459X3Xge,VisRAG: Vision-based Retrieval-augmented Generation on Multi-modality Documents,6.0,0.0
zG2vcC1l1f,KEA: Keeping Exploration Alive by Proactively Coordinating Exploration Strategies in Curiosity-driven Exploration,5.0,0.0
zEUDoD9cU9,CycleVTON: Improving Diffusion-Based Virtual Try-On with Cycle-Consistent Training,5.0,0.0
zDJf7fvdid,NVS-Solver: Video Diffusion Model as Zero-Shot Novel View Synthesizer,6.0,0.0
zCxGCdzreM,Kinetix: Investigating the Training of General Agents through Open-Ended Physics-Based Control Tasks,8.0,0.0
zCZnEXF3bN,"Do Stochastic, Feel Noiseless: Stable Stochastic Optimization via a Double Momentum Mechanism",6.0,0.0
zBbZ2vdLzH,Joint Graph Rewiring and Feature Denoising via Spectral Resonance,8.0,0.0
zAyS5aRKV8,EgoSim: Egocentric Exploration in Virtual Worlds with Multi-modal Conditioning,6.0,0.0
z9j7wctoGV,Deep Kernel Relative Test for Machine-generated Text Detection,6.0,0.0
z8sxoCYgmd,LOKI: A Comprehensive Synthetic Data Detection Benchmark using Large Multimodal Models,8.0,0.0
z8PcUSKXXN,Random Is All You Need: Random Noise Injection on Feature Statistics for Generalizable Deep Image Denoising,5.75,0.4330127018922193
z7QAz5y8Uz,FoGE: Fock Space inspired encoding for graph prompting,5.25,0.4330127018922193
z7JBs8UOLI,Unconstrained Robust Online Convex Optimization,5.75,0.4330127018922193
z4Ho599uOL,STARJOB: DATASET FOR LLM-DRIVEN JOB SHOP SCHEDULING,3.0,0.0
z2WCyBO923,Four eyes see more than two: Dataset Distillation with Mixture-of-Experts,5.0,0.0
z2QdVmhtAP,Efficient Multi Subject Visual Reconstruction from fMRI Using Aligned Representations,3.0,0.0
z1yI8uoVU3,Measuring Effects of Steered Representation in Large Language Models,3.0,0.0
z1td6fBKpG,Conjuring Semantic Similarity,5.75,0.4330127018922193
z1ohBxWeL2,SwiftKV: Fast Prefill-Optimized Inference with Knowledge-Preserving Model Transformation,5.5,0.5
z1mLNhWFyY,Gradient Routing: Masking Gradients to Localize Computation in Neural Networks,5.25,0.4330127018922193
z1Jq1PLQWs,Dueling in the Dark: An Efficient and Optimal $O(\sqrt{T})$ Mirror Descent Approach for Competing against Adversarial Preferences,5.666666666666667,0.4714045207910317
yuymgwkjj1,Correcting the Bias of  Normalizing Flows by Synthetic Outliers for Improving Out-of-Distribution Detection,5.0,0.0
yr7PjzmkQ6,On the utility of Equivariance and Symmetry Breaking in Deep learning architectures on point clouds,5.5,0.5
yr0l1IoyzV,A GPU-accelerated Large-scale Simulator for Transportation System Optimization Benchmarking,5.25,0.4330127018922193
ykD8a9gJvy,Generative Inbetweening: Adapting Image-to-Video Models for Keyframe Interpolation,6.0,0.0
yitH9xAHQs,Forewarned is Forearmed:  Harnessing LLMs for Data Synthesis via Failure-induced Exploration,6.0,0.0
yheQRc5xWB,Effective and Efficient Time-Varying Counterfactual Prediction with State-Space Models,5.8,0.3999999999999999
ygtmPu0xZy,Scalable Exploration via Ensemble++,5.25,0.4330127018922193
yfZJdCijo6,Maximum Coverage in Turnstile Streams with Applications to Fingerprinting Measures,5.25,0.4330127018922193
yeeIGM3N6w,Retraining-Free Merging of Sparse Mixture-of-Experts via Hierarchical Clustering,5.5,0.5
ydREOIttdC,Federated Class-Incremental Learning: A Hybrid Approach Using Latent Exemplars and Data-Free Techniques to Address Local and Global Forgetting,5.75,0.4330127018922193
yaQbTAD2JJ,Language-Image Models with 3D Understanding,6.0,0.0
yYxEFC3Ep4,Where Do Images Come From? Analyzing Captions to Geographically Profile Datasets,5.666666666666667,0.4714045207910317
yYZbZGo4ei,Accelerating Diffusion Transformers with Token-wise Feature Caching,6.0,0.0
yVVzaRE8Pi,You Know What I'm Saying: Jailbreak Attack via Implicit Reference,5.5,0.5
ySRsm6HDy5,Breaking the Curse of Multiagency in Robust Multi-Agent Reinforcement Learning,5.0,0.0
yRd4loGAhJ,SEAL: Scaling to Emphasize Attention for Long-Context Retrieval,5.25,0.4330127018922193
yRKelogz5i,Causally Motivated Sycophancy Mitigation for Large Language Models,6.0,0.0
yP0iKsinmk,AdaFlow: Efficient Long Video Editing via Adaptive Attention Slimming And Keyframe Selection,5.5,0.5
yMHe9SRvxk,HERO: Human-Feedback Efficient Reinforcement Learning for Online Diffusion Model Finetuning,6.0,0.0
yJAk0n0NyU,BlockDance: Reuse Structurally Similar Spatio-Temporal Features to Accelerate Diffusion Transformers,5.0,0.0
yIRtu2FJvY,A Matrix Variational Auto-Encoder for Variant Effect Prediction in Pharmacogenes,3.0,0.0
